coating_thickness_um,det_attachment_survival_fraction,det_avalanche_charge_c,det_avalanche_charge_fC,det_collected_primary_electrons_mean,det_collection_fraction_total,det_created_primary_electrons_mean,det_drift_time_ns,det_drift_time_s,det_gas_gain_mean,det_peak_current_a,det_peak_current_nA,det_peak_voltage_mV,det_peak_voltage_v,diethorn_apply_gain_cap,diethorn_delta_v,diethorn_e_min_over_p_v_per_cm_torr,direct_peak_voltage_mV,direct_peak_voltage_v,effective_diameter_um,gain_model,gas_name,muon_closest_approach_mm,sto_fraction_above_threshold,sto_max_peak_voltage_mV,sto_max_peak_voltage_v,sto_mean_gas_gain,sto_mean_peak_voltage_mV,sto_mean_peak_voltage_v,sto_mean_primary_electrons_collected,sto_mean_primary_electrons_created,sto_median_peak_voltage_mV,sto_median_peak_voltage_v,sto_min_peak_voltage_mV,sto_min_peak_voltage_v,sto_n_events,threshold_mV,threshold_v,use_attachment,use_gain_surrogate,wire_core_diameter_um,wire_name,wire_voltage_V
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,0.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,200.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,400.0
0.0,0.7812383422209839,2.4481423783286813e-17,0.024481423783286813,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0,1.0262971799779816e-09,1.0262971799779816,5.131485899889908e-05,5.131485899889908e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,6.615810972509756e-05,6.615810972509757e-08,1.0,5.139880635297394e-05,5.139880635297394e-08,153.051,279.9495,5.138167912659863e-05,5.1381679126598626e-08,3.694107649624737e-05,3.694107649624737e-08,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,600.0
0.0,0.7812383422209839,2.5508884661494625e-17,0.025508884661494625,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.0419690001408026,1.0693698464689826e-09,1.0693698464689827,5.346849232344913e-05,5.346849232344913e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00033429139100551433,3.342913910055143e-07,1.008469174797303,5.16740561962125e-05,5.16740561962125e-08,152.697,279.381,3.985852709694671e-05,3.985852709694671e-08,7.843484431943312e-08,7.843484431943312e-11,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,800.0
0.0,0.7812383422209839,2.722960655736283e-17,0.02722960655736283,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.1122558393009874,1.1415050312886464e-09,1.1415050312886463,5.707525156443232e-05,5.707525156443232e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00035684127994564977,3.5684127994564976e-07,1.0764962568673073,5.51597703356224e-05,5.51597703356224e-08,152.697,279.381,4.254721541958047e-05,4.254721541958047e-08,8.372572848824155e-08,8.372572848824155e-11,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1000.0
0.0,0.7812383422209839,2.8133017365389545e-17,0.028133017365389545,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.149157729322738,1.1793773369538266e-09,1.1793773369538265,5.896886684769133e-05,5.896886684769133e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00036868038854143,3.6868038854143e-07,1.1122117326383432,5.698983470267431e-05,5.698983470267431e-08,152.697,279.381,4.395882649741651e-05,4.3958826497416506e-08,8.650354049470023e-08,8.650354049470023e-11,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1100.0
0.0,0.7812383422209839,2.906640110329831e-17,0.02906640110329831,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.1872839325277154,1.2185061517863625e-09,1.2185061517863625,6.0925307589318115e-05,6.092530758931812e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0003809122893958974,3.809122893958974e-07,1.1491121593104239,5.8880616066319465e-05,5.8880616066319463e-08,152.697,279.381,4.541727132959859e-05,4.541727132959859e-08,8.937351341373079e-08,8.937351341373079e-11,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1200.0
0.0,0.7812383422209839,3.00307521985608e-17,0.0300307521985608,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.2266750685906775,1.2589331636439096e-09,1.2589331636439096,6.294665818219548e-05,6.294665818219548e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.0003935500143819532,3.9355001438195323e-07,1.1872368506154212,6.08341288659086e-05,6.08341288659086e-08,152.697,279.381,4.6924103743934274e-05,4.6924103743934274e-08,9.233870491582592e-08,9.233870491582592e-11,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1300.0
0.0,0.7812383422209839,3.1027098071285716e-17,0.031027098071285716,152.8010286991042,0.5468668395546886,279.4117647058824,19.75,1.975e-08,1.2673731048464412,1.3007014434838412e-09,1.3007014434838413,6.503507217419205e-05,6.503507217419206e-08,False,35.0,50.0,4.373482513664103e-06,4.373482513664103e-09,25.0,phenomenological_capped,air_dry_1atm,1.0,0.0,0.00040660702773771877,4.0660702773771877e-07,1.2266264246173089,6.285245437489361e-05,6.285245437489361e-08,152.697,279.381,4.848092912038373e-05,4.848092912038373e-08,9.540227411740111e-08,9.540227411740111e-11,2000,1.0,0.001,True,True,25.0,25um_carbon_fiber,1400.0
