voltage_v,gas_key,gas_label,wire_key,wire_label,source_key,source_label,wire_diameter_um,wire_radius_cm,outer_radius_cm,ln_b_over_a,surface_field_v_per_cm,surface_field_kv_per_cm,primary_electrons,survival_factor,gain_model,v0_v,gain,collected_charge_c,collected_charge_pc,pulse_width_ns,termination_ohm,peak_voltage_v,peak_voltage_mv,visible_threshold_mv,reliable_threshold_mv,visibility_class,air_corona_onset_estimate_v,air_corona_region_flag,notes
1400,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,475536.1746895787,475.53617468957873,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1400,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,475536.1746895787,475.53617468957873,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1400,air,air,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,186932.59238938708,186.93259238938708,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1400,air,air,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,186932.59238938708,186.93259238938708,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,2200.0,False,air direct-primary estimate only; below rough corona-onset estimate
1400,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,475536.1746895787,475.53617468957873,130.0,0.95,diethorn_like_surrogate,111.87371819762815,19452.70211999951,3.848658756335543e-13,0.3848658756335543,10.0,50.0,0.0019243293781677714,1.9243293781677715,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1400,75Ar25CO2,75Ar25CO2,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,475536.1746895787,475.53617468957873,121.0,0.95,diethorn_like_surrogate,111.87371819762815,19452.70211999951,3.5822131501276974e-13,0.3582213150127697,10.0,50.0,0.0017911065750638487,1.7911065750638488,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1400,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,cosmic_muon,cosmic muon,25.0,0.00125,0.5,5.991464547107982,186932.59238938708,186.93259238938708,130.0,0.95,diethorn_like_surrogate,284.59456598762915,1591.5428701567253,3.148819822318976e-14,0.03148819822318976,10.0,50.0,0.0001574409911159488,0.15744099111594878,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1400,75Ar25CO2,75Ar25CO2,cf_25um,25 um carbon fiber,sr90_beta,Sr90/Y90 beta,25.0,0.00125,0.5,5.991464547107982,186932.59238938708,186.93259238938708,121.0,0.95,diethorn_like_surrogate,284.59456598762915,1591.5428701567253,2.930824603850739e-14,0.02930824603850739,10.0,50.0,0.00014654123019253697,0.14654123019253695,5.0,20.0,not_enough,,False,75Ar25CO2 proportional-gain surrogate model
1425,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),cosmic_muon,cosmic muon,8.3,0.000415,0.5,7.09408485717363,484027.8920947497,484.02789209474975,70.0,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.1214e-17,1.1214000000000001e-05,10.0,50.0,5.6070000000000005e-08,5.6070000000000004e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
1425,air,air,cf_7p7um_core_plus_0p3um_ni_each_side,7.7 um CF core + 0.3 um Ni each side (8.3 um total dia.),sr90_beta,Sr90/Y90 beta,8.3,0.000415,0.5,7.09408485717363,484027.8920947497,484.02789209474975,70.9,1.0,direct_primary_only_no_stable_air_avalanche_modeled,,1.0,1.135818e-17,1.1358180000000001e-05,10.0,50.0,5.6790900000000003e-08,5.6790900000000005e-05,5.0,20.0,not_enough,1400.0,True,air direct-primary estimate only; above rough corona-onset estimate
